City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain in inches (last 3 hrs),Snow in inches (last 3 hrs)
91,Kargil,34.57,76.1,0.23,91,0,3.49,IN,2020-03-01 18:16:49,clear sky,0.0,0.0
92,Qena,26.16,32.72,68.0,40,0,5.82,EG,2020-03-01 18:16:49,clear sky,0.0,0.0
93,Necochea,-38.55,-58.74,82.94,48,0,15.37,AR,2020-03-01 18:16:50,clear sky,0.0,0.0
94,Mount Isa,-20.73,139.5,80.6,74,98,6.93,AU,2020-03-01 18:13:33,overcast clouds,0.0,0.0
95,Saint-Pierre,-21.34,55.48,80.6,88,40,3.36,RE,2020-03-01 18:16:50,scattered clouds,0.0,0.0
96,Kirakira,-10.45,161.92,78.58,80,17,2.62,SB,2020-03-01 18:16:50,few clouds,0.0,0.0
97,Bar Harbor,44.39,-68.2,32.0,50,75,10.29,US,2020-03-01 18:16:50,broken clouds,0.0,0.0
98,Sur,22.57,59.53,69.35,66,0,5.84,OM,2020-03-01 18:13:07,clear sky,0.0,0.0
99,Dikson,73.51,80.55,21.97,92,100,29.39,RU,2020-03-01 18:12:58,light snow,0.0,1.06
100,Meulaboh,4.14,96.13,85.5,69,75,2.68,ID,2020-03-01 18:16:51,broken clouds,0.0,0.0
101,Milove,49.38,40.13,34.39,71,24,8.16,UA,2020-03-01 18:16:51,few clouds,0.0,0.0
102,San Policarpo,12.18,125.51,76.86,81,9,9.42,PH,2020-03-01 18:16:52,light rain,0.13,0.0
103,Hilo,19.73,-155.09,66.99,88,20,8.05,US,2020-03-01 18:13:32,moderate rain,0.0,0.0
104,Mar Del Plata,-38.0,-57.56,80.6,69,0,13.87,AR,2020-03-01 18:16:52,clear sky,0.0,0.0
105,Vestmannaeyjar,63.44,-20.27,39.2,76,75,51.67,IS,2020-03-01 18:16:52,moderate rain,0.0,0.0
106,Pangody,65.85,74.49,17.53,89,79,11.88,RU,2020-03-01 18:16:53,broken clouds,0.0,0.0
107,Grand-Santi,4.25,-54.38,94.28,38,100,4.0,GF,2020-03-01 18:16:53,overcast clouds,0.0,0.0
108,Aviles,43.55,-5.92,63.0,51,40,13.87,ES,2020-03-01 18:16:53,scattered clouds,0.0,0.0
109,Saint-Philippe,-21.36,55.77,80.6,88,40,3.36,RE,2020-03-01 18:16:53,scattered clouds,0.0,0.0
110,Geraldton,-28.77,114.6,77.0,57,88,20.8,AU,2020-03-01 18:16:53,overcast clouds,0.0,0.0
111,Durant,33.99,-96.37,70.0,60,90,25.28,US,2020-03-01 18:14:21,overcast clouds,0.0,0.0
