City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
255,Ocampo,MX,73.53,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
258,Dawei,MM,80.1,scattered clouds,14.08,98.2,Hotel Dawei
262,Coihaique,CL,73.4,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
266,Ranot,TH,80.56,broken clouds,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
267,Ampere,BR,82.45,clear sky,-25.91,-53.47,Zanon Hotel Express
268,Beni,CD,72.61,broken clouds,0.5,29.47,Albertine hotel
270,Angatuba,BR,73.74,overcast clouds,-23.49,-48.41,Pousada da Vovó
279,Itacarambi,BR,84.85,broken clouds,-15.1,-44.09,POUSADA CAMALEÃO
282,Pisco,PE,75.99,haze,-13.7,-76.22,Hostal San Isidro Oficial
283,Inhambane,MZ,77.0,scattered clouds,-23.86,35.38,MHL Turismo SA
286,Hambantota,LK,79.75,scattered clouds,6.12,81.12,Bungalow 63
287,Carutapera,BR,83.03,clear sky,-1.2,-46.02,Lidera
289,Karratha,AU,86.74,clear sky,-20.74,116.85,ibis Styles Karratha
292,Kidal,ML,78.87,clear sky,18.44,1.41,
293,Hualmay,PE,81.21,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
294,Amalapuram,IN,71.6,scattered clouds,16.58,82.02,swayamprabha service apartments
295,Ngerengere,TZ,75.2,broken clouds,-6.75,38.12,
296,Mareeba,AU,78.8,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
301,Paramonga,PE,72.41,overcast clouds,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
302,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
304,Makakilo City,US,71.6,light intensity drizzle,21.35,-158.09,Marriott's Ko Olina Beach Club
306,Luanda,AO,82.4,broken clouds,-8.84,13.23,EPIC SANA Luanda
309,Salinopolis,BR,81.73,clear sky,-0.61,-47.36,Hotel Salinópolis
